Date,u,v
09/01/2018 18:00,0.220076,0.447439
09/01/2018 18:30,0.210103,0.399038
09/01/2018 19:00,0.186518,0.383506
09/01/2018 19:30,1.44E-01,3.15E-01
09/01/2018 20:00,0.0853596,0.22489
09/01/2018 20:30,0.0891719,0.25832
09/01/2018 21:00,0.0783552,0.191311
09/01/2018 21:30,0.0759578,0.180481
09/01/2018 22:00,0.0588459,0.107486
09/01/2018 22:30,0.0591821,0.107059
09/01/2018 23:00,0.0382231,0.0560868
09/01/2018 23:30,0.0454154,0.0704872
10/01/2018 0:00,0.0317961,0.0336849
10/01/2018 0:30,0.02522,0.0243676
10/01/2018 1:00,0.0223081,0.040939
10/01/2018 1:30,0.0234543,0.0165462
10/01/2018 2:00,0.0317695,0.010617
10/01/2018 2:30,0.0235804,0.00811407
10/01/2018 3:00,0.0179216,0.00467488
10/01/2018 3:30,0.0115531,-0.00137889
10/01/2018 4:00,0.0134524,0.00186685
10/01/2018 4:30,1.40E-02,0.00325982
10/01/2018 5:00,9.94E-03,-1.81E-03
10/01/2018 5:30,0.0168379,0.0254302
10/01/2018 6:00,0.0230185,0.0181375
10/01/2018 6:30,-0.0282582,-0.0378661
10/01/2018 7:00,-0.0131407,-0.0187833
10/01/2018 7:30,-0.0677013,-0.106109
10/01/2018 8:00,-0.0683628,-0.107537
10/01/2018 8:30,-0.0937382,-0.150639
10/01/2018 9:00,-0.111299,-0.181245
10/01/2018 9:30,-0.119485,-0.19592
10/01/2018 10:00,-0.158628,-0.264361
10/01/2018 10:30,-0.156608,-0.261357
10/01/2018 11:00,-0.200256,-0.338046
10/01/2018 11:30,-0.194631,-0.328491
10/01/2018 12:00,-0.221217,-0.375427
10/01/2018 12:30,-0.201304,-0.340419
10/01/2018 13:00,-0.19567,-0.330543
10/01/2018 13:30,-0.150415,-0.251637
10/01/2018 14:00,-0.0549491,-0.088929
10/01/2018 14:30,0.101146,0.164598
10/01/2018 15:00,0.171711,0.300766
10/01/2018 15:30,0.171549,0.304217
10/01/2018 16:00,0.22506,0.417796
10/01/2018 16:30,0.204249,0.376413
10/01/2018 17:00,0.234307,0.45815
10/01/2018 17:30,0.223253,0.436402
10/01/2018 18:00,0.21525,0.4446
10/01/2018 18:30,0.214719,0.410282
10/01/2018 19:00,0.17949,0.375397
10/01/2018 19:30,0.127697,0.288154
10/01/2018 20:00,0.137067,0.297864
10/01/2018 20:30,0.0985007,0.291604
10/01/2018 21:00,0.0662142,0.199544
10/01/2018 21:30,0.0911878,0.170897
10/01/2018 22:00,0.0859453,0.143124
10/01/2018 22:30,0.114032,2.19E-01
10/01/2018 23:00,0.0880648,0.118037
10/01/2018 23:30,0.0768767,0.096109
11/01/2018 0:00,0.0541438,0.0564054
11/01/2018 0:30,0.0521857,0.0472186
11/01/2018 1:00,0.0257045,0.0217246
11/01/2018 1:30,0.0251687,0.0201219
11/01/2018 2:00,0.0223754,0.00710304
11/01/2018 2:30,0.0247243,0.00667309
11/01/2018 3:00,0.0183955,0.00152846
11/01/2018 3:30,0.0166755,0.00508974
11/01/2018 4:00,0.0120401,2.82E-05
11/01/2018 4:30,0.0124698,0.00288063
11/01/2018 5:00,0.0122069,0.00229639
11/01/2018 5:30,0.0137608,0.0011315
11/01/2018 6:00,0.0110159,-0.00125447
11/01/2018 6:30,0.00462647,-0.000278448
11/01/2018 7:00,0.00473585,-0.00848689
11/01/2018 7:30,0.00702438,0.00619857
11/01/2018 8:00,0.00661448,0.00708566
11/01/2018 8:30,-0.0463759,-0.0678454
11/01/2018 9:00,-0.0701207,-0.110033
11/01/2018 9:30,-0.0878108,-0.140282
11/01/2018 10:00,-0.121125,-0.198099
11/01/2018 10:30,-0.13109,-0.216081
11/01/2018 11:00,-0.182337,-0.306017
11/01/2018 11:30,-0.179872,-0.302219
11/01/2018 12:00,-0.224774,-0.381291
11/01/2018 12:30,-0.224627,-0.38115
11/01/2018 13:00,-0.246759,-0.420502
11/01/2018 13:30,-0.223803,-0.379877
11/01/2018 14:00,-0.207344,-0.350937
11/01/2018 14:30,-0.137979,-0.23014
11/01/2018 15:00,0.000809875,0.0025877
11/01/2018 15:30,0.124252,0.208155
11/01/2018 16:00,0.179613,0.315961
11/01/2018 16:30,0.16203,0.285355
11/01/2018 17:00,0.225451,0.415275
11/01/2018 17:30,0.208924,0.384026
11/01/2018 18:00,0.245276,0.476754
11/01/2018 18:30,0.222789,0.430891
11/01/2018 19:00,0.245881,0.528283
11/01/2018 19:30,0.22538,0.442423
11/01/2018 20:00,0.243782,0.492467
11/01/2018 20:30,0.151253,0.330722
11/01/2018 21:00,0.109037,0.290618
11/01/2018 21:30,0.102886,0.263246
11/01/2018 22:00,7.88E-02,2.08E-01
11/01/2018 22:30,0.078344,0.219543
11/01/2018 23:00,0.07313,0.152731
11/01/2018 23:30,0.0617163,0.131964
12/01/2018 0:00,0.053027,0.0938923
12/01/2018 0:30,0.0404189,0.0642636
12/01/2018 1:00,3.82E-02,0.0467417
12/01/2018 1:30,0.0287356,0.0312875
12/01/2018 2:00,0.0169725,0.0388932
12/01/2018 2:30,0.0288805,0.0203032
12/01/2018 3:00,0.034088,0.0180396
